road_address,x,y,detail
서울 광진구 아차산로 549,127.101744170173,37.5433581625122,광장현대파크빌
서울 광진구 아차산로78길 75,127.110984517421,37.5515973987517,골든텔오피스텔
서울 광진구 아차산로 637,127.107604825998,37.5513211276494,워커힐
서울 광진구 아차산로78가길 31,127.108997469614,37.5484524239383,연세리버빌
서울 광진구 아차산로 552,127.104380226748,37.5436805818941,극동1차
서울 광진구 아차산로 552,127.104380226748,37.5436805818941,극동2차
서울 광진구 천호대로143길 8-8,127.103389929604,37.5458398860672,오일뱅크 뒤
서울 광진구 아차산로53길 82,127.086164548411,37.5407182863636,동주민센터
서울 광진구 아차산로 599,127.104175719093,37.5469076897327,신동아파밀리에
서울 광진구 광장로3길 18-13,127.103467983782,37.5480320373094,유천빌라
서울 광진구 광장로3길 22,127.103069317145,37.5481167194178,미도빌라
서울 광진구 광장로9길 6,127.106798150859,37.5489275478003,극동빌라
서울 광진구 아차산로 628,127.107820474319,37.5485381082751,
서울 광진구 광장로7길 31,127.105152715702,37.5492222994886,현대빌라트
서울 광진구 광장로1다길 2,127.103270321266,37.5489572653298,현대빌라
서울 광진구 광장로1다길 12-3,127.103021497075,37.5493023848089,경동빌라
서울 광진구 아차산로 546,127.101956879313,37.5429263103513,삼성2차
서울 광진구 아차산로70길 62,127.098995313099,37.5403766593492,광장현대3단지(1)
서울 광진구 아차산로70길 62,127.098995313099,37.5403766593492,광장현대3단지(2)
서울 광진구 광나루로 585,127.094393155432,37.54317010212,이노빌
서울 광진구 아차산로70길 61,127.099966734736,37.5402253740643,광장현대5단지
서울 광진구 아차산로70길 17-16,127.101213923003,37.541514723184,광남고등학교
서울 광진구 아차산로70길 17-16,127.101213923003,37.541514723184,광남중학교
서울 광진구 아차산로 522,127.098983289211,37.54180907842,광장현대8단지(1)
서울 광진구 아차산로 522,127.098983289211,37.54180907842,광장현대8단지(2)
서울 광진구 아차산로 540,127.101477509069,37.5423062951953,상록타워
서울 광진구 아차산로69길 19,127.097967267252,37.5430014972726,광장동현대9차
서울 광진구 광나루로 579,127.093994231168,37.5441187219211,광장동금호
서울 광진구 아차산로69길 29,127.096904532808,37.5434483687579,광장현대11차
서울 광진구 천호대로 808,127.102739572749,37.545073523534,광장동현대12차
서울 광진구 광나루로 595,127.095049173913,37.5426828561134,광장자이
서울 광진구 아차산로 537-17,127.099658987674,37.5429620594914,광장힐스테이트
서울 광진구 아차산로78가길 31,127.108997469614,37.5484524239383,연세리버빌
서울 광진구 광나루로30길 25,127.082004694409,37.544053054073,동아자동차담장 건너편 주차장 골목
서울 광진구 광나루로36길 47,127.086973061678,37.5419293578309,명성여고
서울 광진구 광나루로36길 47,127.086973061678,37.5419293578309,명성여중
서울 광진구 아차산로 375,127.084368022992,37.5370799042659,크레신타워
서울 광진구 광나루로36길 67,127.085852657733,37.5419607215927,
서울 광진구 자양로 116,127.083851802019,37.5382469769869,웰츠타워
서울 광진구 광나루로 486,127.083211259101,37.5447487723978,센트오피스텔
서울 광진구 자양로 167,127.083902174384,37.5429114164928,광진경찰서 뒷담
서울 광진구 자양로26길 71,127.087837362694,37.5412876569611,구의동세한
서울 광진구 영화사로 111,127.099047310011,37.5534224448219,동의초교
서울 광진구 워커힐로 93,127.097917377384,37.5505366803029,정립회관
서울 광진구 영화사로16길 34,127.096419464495,37.5539244934175,한라아파트 옆
서울 광진구 자양로48길 50,127.09481836595,37.5515481470864,롯데빌라
서울 광진구 자양로44길 141,127.095785987884,37.5518450558017,
서울 광진구 자양로44길 69,127.095112460916,37.5499237714814,
서울 광진구 자양로44길 57,127.094691391488,37.5499375347759,
서울 광진구 자양로42길 40,127.092114322249,37.5484043622916,
서울 광진구 자양로40길 41,127.091332532375,37.5476114602117,광진초교
서울 광진구 천호대로136길 55,127.08992390636,37.5472413299289,동주민센터
서울 광진구 자양로41길 20,127.089424987737,37.550279064472,
서울 광진구 광나루로 545,127.089987563362,37.5462562195695,래미안구의파크스위트
서울 광진구 영화사로11길 44,127.09531510979,37.5561208504025,
서울 광진구 자양로33길 37,127.086066967006,37.5476674933044,
서울 광진구 광나루로54길 14,127.095539410245,37.5403302212283,성현교회
서울 광진구 구의강변로 106,127.09489656845,37.53985699394,삼성쉐르빌
서울 광진구 구의로16길 36,127.092345330438,37.5430270208391,명성맨션
서울 광진구 아차산로 471,127.093974084703,37.5404187841405,cs프라자
서울 광진구 아차산로 452,127.092768192297,37.5389200235366,다성리버텔
서울 광진구 아차산로 451,127.092083024734,37.5392438385405,세림리오빌
서울 광진구 구의강변로 42,127.092918056594,37.5355911607697,구의동강변우성
서울 광진구 강변역로4길 34,127.092228583355,37.5341391082547,현대하이엘
서울 광진구 강변역로4길 68,127.092595974522,37.532601172941,리젠트오피스텔
서울 광진구 광나루로56길 8,127.097681510936,37.5389802127572,동주민센터
서울 광진구 구의강변로3가길 39,127.090991709293,37.5368269410374,구의현대7단지
서울 광진구 구의강변로 64,127.092583672192,37.5358285666892,구의아크로리버
서울 광진구 구의강변로 94,127.095065017619,37.538139372561,구의현대6단지
서울 광진구 광나루로56길 32,127.096219392344,37.537824078736,구의현대2단지(1)
서울 광진구 광나루로56길 32,127.096219392344,37.537824078736,구의현대2단지(2)
서울 광진구 광나루로56길 32,127.096219392344,37.537824078736,구의현대2단지(3)
서울 광진구 광나루로56길 32,127.096219392344,37.537824078736,구의현대2단지(4)
서울 광진구 광나루로56길 29,127.096536670188,37.5369576884242,현대프라임상가(사업체)
서울 광진구 광나루로56길 29,127.096536670188,37.5369576884242,현대프라임
