road_address,x,y
서울 영등포구 신길로61길 17,126.909339360003,37.5146663332687
서울 영등포구 영등포동 647-3,126.903902098661,37.5101526904375
서울 영등포구 신길로62길 35,126.915232520195,37.5143310311822
서울 영등포구 영등포로62가길 6-16,126.916953036611,37.5155723947356
서울 영등포구 신길로60길 34,126.914081976336,37.5133239588989
서울 영등포구 도신로65길 3-2,126.916953745943,37.512890647814
서울 영등포구 영신로9나길 16,126.906152005083,37.513566421357
서울 영등포구 영등포로62길 34,126.914357497366,37.5164048704642
서울 영등포구 영등포로60길 17,126.916427493569,37.5168072096192
서울 영등포구 국회대로44길 7,126.903800613861,37.5250674527734
서울 영등포구 영등포로33길 9-1,126.902565273245,37.5214057581292
서울 영등포구 영등포로34길 12,126.902029279404,37.5192599372783
서울 영등포구 영등포로35길 15,126.904192155365,37.5216114363955
서울 영등포구 영중로27길 3,126.904755522037,37.524088837486
서울 영등포구 국회대로53길 28-7,126.907110650051,37.5281362114374
서울 영등포구 도신로15다길 33,126.897150647641,37.5077575412354
서울 영등포구 도신로 165,126.90965837624,37.5105970133757
서울 영등포구 도신로15다길 10,126.899004542129,37.5071316812329
서울 영등포구 도신로25길 4,126.902862275068,37.5077475997197
서울 영등포구 영등포로20길 20,126.892047231897,37.5202068390623
서울 영등포구 양산로3길 9,126.885066309461,37.5265862846296
서울 영등포구 양평로30가길 28,126.891180375678,37.5430351530423
서울 영등포구 양평로20길 8-1,126.895933074407,37.5377566064273
서울 영등포구 양평로28라길 2,126.891441896841,37.5417720126458
서울 영등포구 영등포로84길 36,126.921973621426,37.5100817662364
서울 영등포구 여의대방로55길 22-1,126.922613979245,37.5127513222346
서울 영등포구 여의대방로47다길 16-9,126.921424196235,37.5108008539707
서울 영등포구 신길로41다길 4,126.908690458467,37.5082431159688
서울 영등포구 신길로41길 28-5,126.907987967702,37.5088075006884
서울 영등포구 가마산로51길 6,126.900959133541,37.5036280665526
서울 영등포구 가마산로49길 2,126.900562317768,37.5034313140495
서울 영등포구 가마산로61다길 9,126.904149453897,37.5061762177411
서울 영등포구 가마산로63길 25,126.905039968329,37.5076255724043
서울 영등포구 신길로39길 28,126.90792051914,37.5071820358327
서울 영등포구 도림로63길 1,126.903694692046,37.4977164874634
서울 영등포구 신길로15길 9,126.907366722818,37.4973415418818
서울 영등포구 가마산로50길,126.901935879227,37.5020281553306
서울 영등포구 신길로8길 7,126.909322910374,37.495724041255
서울 영등포구 신길로16길 9-1,126.909255380569,37.4981697709962
서울 영등포구 대방천로12길 9,126.908643452483,37.4983679712047
서울 영등포구 신길로8길 9-15,126.909098181398,37.4963108742436
서울 영등포구 대방천로 182,126.911181872168,37.498980518757
서울 영등포구 대림로 106,126.903016176404,37.4913317598352
서울 영등포구 디지털로38길 16-15,126.900331159208,37.4873435585383
서울 영등포구 대림2동 702,126.900145303317,37.493350506997
서울 영등포구 디지털로38길 8-8,126.899527031502,37.4881656776093
서울 영등포구 가마산로47길 13,126.89909109617,37.5035785521152
서울 영등포구 도림로39길 21,126.897941380436,37.4945988604913
서울 영등포구 도림로39길 7-2,126.896859296467,37.4939466731505
서울 영등포구 도림로31길 28,126.89494752415,37.4948592400044
서울 영등포구 대림로31나길 10,126.895822312038,37.496741045672
서울 영등포구 대림로39길 23,126.895191571985,37.4992163622733
서울 영등포구 신길로61길 17,126.909339360003,37.5146663332687
서울 영등포구 영등포로53길 22,126.910697572386,37.520389368725
서울 영등포구 국제금융로 124,126.934614020991,37.517693912112
서울 영등포구 양산로23길 11,126.897404872904,37.5251281135703
서울 영등포구 당산로41가길 7,126.897347826726,37.5310115134124
서울 영등포구 도영로7길 10,126.895999582851,37.5094933996277
서울 영등포구 문래로28길 15,126.899523304199,37.5171097508358
서울 영등포구 영등포로11길 12,126.888226335348,37.5236462851594
서울 영등포구 선유로47길 30,126.894039419262,37.5365013611163
서울 영등포구 영등포로84길 24-5,126.921442246927,37.511168746002
서울 영등포구 신길로41라길 13-8,126.907749593982,37.5072986726821
서울 영등포구 신길로42길 1,126.911357724168,37.5084506667913
서울 영등포구 도림로 264,126.905218994782,37.5016416007478
서울 영등포구 대방천로 169,126.909843793817,37.4993738754624
서울 영등포구 여의대방로43길 10,126.921514094252,37.5063920279751
서울 영등포구 디지털로 441,126.90584198104,37.4954572331627
서울 영등포구 대림로23길 25,126.898250466218,37.4927398096313
서울 영등포구 대림로 197,126.898034371631,37.498313519439
