road_address,x,y
서울 중랑구 송림길 16,127.095854693677,37.6002516324525,신내 다우훼밀리 101동 (망우역)
서울 중랑구 용마산로117길 8,127.099943751838,37.6006153041318,동광 오뜨빌 관리실 (망우본동 주민센터 건너편)
서울 중랑구 망우로65길 7,127.099572141145,37.600736711337,서울 마트 서울 마트 오른쪽
서울 중랑구 용마산로115길 109,127.094160266661,37.5974663223384,"한일 써너스빌 리젠시 101동, 201동 지하 1층 "
서울 중랑구 망우로60길 37,127.094238280931,37.5971024399369,상봉 써너스빌 에코오피스텔 쓰레기 선별장
서울 중랑구 봉우재로57길 47,127.094768716129,37.5965951176902,문수 해오름 아파트 지상 2층 주차장 (상봉 이마트 옆)
서울 중랑구 상봉로26길 29,127.094712021585,37.5958198603651,가야 써니빌 음식물 선별장 (상봉 이마트 옆)
서울 중랑구 상봉로 131,127.092177640813,37.5974066200134,상봉 듀오트리스 지하 7층 
서울 중랑구 상봉중앙로1길 54,127.088065573282,37.5986685341724,우정 101동(관리실)  
서울 중랑구 동일로157길 70,127.073841554702,37.6095684664635,"묵동 아이파크 102동 음식물 선별장, 105동 초소, 108동 초소"
서울 중랑구 동일로157길 59,127.074381461777,37.6092464742664,묵동 세원 101동 학교 옆
서울 중랑구 묵2동 378,127.073491872132,37.6143378887968,묵동 한국 정문 경비실
서울 중랑구 동일로 941,127.076203123812,37.6148667612404,극동 늘푸른 101동 (먹골역)
서울 중랑구 동일로169길 41,127.07417810705,37.6132887989009,묵동 동구햇살 101동 왼쪽 창고 안
서울 중랑구 중랑천로 316,127.073338722026,37.6132804037442,월드 메르디앙 경비실 뒤 건물 안
서울 중랑구 공릉로18길 59,127.0814315198,37.6186494912113,브라운스톤 태능 쓰레기 선별장
서울 중랑구 숙선옹주로 45,127.082709220926,37.6157076877978,"e편한세상 화랑대 101동,103동,104동,106동,110동,111동,112동 쓰레기 선별장"
서울 중랑구 중랑역로 279,127.078727489813,37.6169708036069,묵동 삼성 아파트 쓰레기 선별장
서울 중랑구 숙선옹주로9길 25,127.083612048302,37.6158046285885,묵동 세방 102동 건물안 쓰레기 선별장
서울 중랑구 숙선옹주로 6-9,127.077888682936,37.614842144969,묵동 자이 1단지 3층 쓰레기 선별장
서울 중랑구 동일로 932,127.077557139207,37.6138393830212,"묵동 자이 2단지 201동 5층, 202동 4층 쓰레기 선별장"
서울 중랑구 동일로 946,127.07698944928,37.6150265366805,묵동 신도 묵동 자이 옆(지하 주차장 입구)
서울 중랑구 공릉로2길 47,127.080672342292,37.612314353534,묵동 신안 1차 쓰레기 선별장
서울 중랑구 공릉로2나길 44,127.079512359283,37.6141418050431,묵동 신안 2차 쓰레기 선별장
서울 중랑구 공릉로2라길 4,127.081675138324,37.6131399604483,묵동 신안 3차  경비실
서울 중랑구 공릉로2나길 32-12,127.079884478925,37.6133445393031,SM 해그린 쓰레기 선별장 
서울 중랑구 공릉로2라길 36,127.082037413213,37.613407302763,현대 빌라 쓰레기 선별장 (묵동 신안3차 옆)
서울 중랑구 공릉로13길 30,127.07699925845,37.6165209093159,"묵동 신도 1차  101동 경비실, 102동 경비실 뒤(후문)"
서울 중랑구 공릉로13길 30,127.07699925845,37.6165209093159,묵동 신도 2차 건물 안쪽 쓰레기 선별장
서울 중랑구 공릉로2길 39,127.079935191823,37.6128950918525,금호 어울림 경비실
서울 중랑구 공릉로 32,127.078318153395,37.6136313827671,묵동 공감대  경비실 뒤
서울 중랑구 신내로 277,127.086231060231,37.6190336864781,묵동 리본타워 관리사무소 앞 (화랑대역)
서울 중랑구 겸재로30길 42,127.084164553981,37.587155806045,"면목 마젤란21 101동, 102동 건물 안"
서울 중랑구 사가정로41길 59,127.083848045093,37.5840783300644,동원 베네스트 101동과 102동 사이 창고 안쪽
서울 중랑구 겸재로29길 27,127.085204234465,37.5899098441801,면목 아남 리치카운티 103동 건물 안 쓰레기 선별장
서울 중랑구 사가정로41길 9,127.083981519364,37.5816522208885,면목 두산 1차 101동 경비실 옆
서울 중랑구 면목로37길 58,127.083602633631,37.5807751024093,"면목 두산 2, 3차 202동, 301동"
서울 중랑구 사가정로42길 90,127.081092507639,37.5779593558972,"면목 두산 4, 5차 1초소(404동), 2초소 뒤 (502동) "
서울 중랑구 답십리로77길 139,127.080690907548,37.5775950889197,면목 두산 6차 601동
서울 중랑구 동일로 557,127.079248746063,37.5801402021885,면목 신우 101동
서울 중랑구 동일로 501,127.079463416499,37.5755811183776,면목 삼익 103동
