road_address,x,y,detail
서울 종로구 율곡로22나길 21,127.004650309004,37.5739084052823,충신경로당
서울 종로구 충신길 27,127.007861504862,37.5740497813972,중앙성결교회 앞
서울 종로구 김상옥로 37,127.001615376216,37.573621518965,연동교회(주차장)
서울 종로구 이화장길 33,127.004346542051,37.5769797271994,동주민센터
서울 종로구 혜화로 12,127.000563953267,37.5868545154777,동주민센터
서울 종로구 창경궁로 288,127.002740601088,37.586204148342,혜화동성당
서울 종로구 창경궁로 265,126.99960203377,37.585876127948,아남(아) 101동(103방향)
서울 종로구 창경궁로 265,126.99960203377,37.585876127948,아남(아)  101동(102방향)
서울 종로구 혜화로3길 33,126.998690725909,37.5861514648089,아남(아)  201동
서울 종로구 창경궁로 265,126.99960203377,37.585876127948,아남(아)  102~103동 사이
서울 종로구 혜화로3길 5,127.000230514994,37.5859646059047,아남(아) 301동 뒤편
서울 종로구 성균관로5길 25-13,126.99690316692,37.5844889190258,유림경로당
서울 종로구 혜화로 32,127.000253620839,37.5886344276384,혜화초등학교 경비실 뒤
서울 종로구 창경궁로26길 40,126.999906598949,37.5819035590516,
서울 종로구 혜화로9길 24-9,126.99828309081,37.5880548969763,해명경로당
서울 종로구 성균관로13길 30,126.996694585516,37.5904039307654,명륜국제주차장
서울 종로구 지봉로 8-6,127.016343078772,37.5707185639146,동주민센터
서울 종로구 지봉로5길 7,127.013834360919,37.5740774336835,두산아파트 101동
서울 종로구 지봉로5길 7,127.013834360919,37.5740774336835,두산아파트 102동
서울 종로구 지봉로5길 7,127.013834360919,37.5740774336835,두산아파트 103동
서울 종로구 종로44길 43,127.012967943683,37.5709711714848,동신교회
서울 종로구 창신길 62,127.010871025091,37.5744504852924,동주민센터
서울 종로구 창신길 20,127.011010638393,37.5723822385791,동대문맨션(아)
서울 종로구 창신4나길,127.00969108127,37.5741555122698,주택가
서울 종로구 지봉로 87,127.014558601401,37.5780295588982,동주민센터
서울 종로구 동망산길 19,127.014194906011,37.5800313416279,쌍용아파트1단지 101동
서울 종로구 동망산길 19,127.014194906011,37.5800313416279,쌍용아파트1단지 102동
서울 종로구 동망산길 19,127.014194906011,37.5800313416279,쌍용아파트1단지 104동
서울 종로구 동망산길 19,127.014194906011,37.5800313416279,쌍용아파트1단지 105동
서울 종로구 낙산길 196,127.012068001366,37.5813234231068,쌍용아파트2단지 202동
서울 종로구 낙산길 196,127.012068001366,37.5813234231068,쌍용아파트2단지 204동
서울 종로구 낙산길 196,127.012068001366,37.5813234231068,쌍용아파트2단지 206동
서울 종로구 낙산길 196,127.012068001366,37.5813234231068,쌍용아파트2단지 207동
서울 종로구 지봉로13길 82,127.012178617017,37.5771962285457,종로사회복지관
서울 종로구 지봉로 87,127.014558601401,37.5780295588982,이수아파트
서울 종로구 지봉로13길 20-8,127.013801007509,37.5792068887819,창신경찰기동대
서울 종로구 지봉로 86,127.015628142898,37.5778227340801,동주민센터
서울 종로구 동망산길 47,127.015738287163,37.5815574293752,종로센트레빌 102동 앞
서울 종로구 동망산길 47,127.015738287163,37.5815574293752,종로센트레빌 104동 앞
서울 종로구 동망산길 47,127.015738287163,37.5815574293752,종로센트레빌 105동 앞
서울 종로구 종로 347,127.016000015149,37.5740562569508,롯데캐슬아파트
서울 종로구 종로65길 10,127.019961720703,37.5748752884313,동주민센터
서울 종로구 숭인동길 21,127.020959405051,37.5757847596495,종로청계힐스테이트 105동
서울 종로구 숭인동길 21,127.020959405051,37.5757847596495,종로청계힐스테이트 106동
