road_address,x,y
서울 서대문구 충정로6길 27,126.966237936767,37.5626350066298
서울 서대문구 통일로 97,126.966862806889,37.5642133689349
서울 서대문구 충정로7길 9,126.964075832055,37.5632306480056
서울 서대문구 경기대로 26-7,126.961948197164,37.5618578538624
서울 서대문구 충정로 53,126.964632683146,37.5637512316327
서울 서대문구 경기대로 40,126.962375714797,37.5629329698369
서울 서대문구 충정로7길 30,126.963204308018,37.5636879956614
서울 서대문구 북아현로22길 38,126.954719901091,37.5648069670552
서울 서대문구 독립문로14길 64-6,126.960937403129,37.5669765337798
서울 서대문구 독립문로14길 74,126.959810568373,37.5663824893873
서울 서대문구 독립문공원길 13,126.95831483956,37.5719339049306
서울 서대문구 통일로 279-75,126.951168789689,37.5749854476653
서울 서대문구 독립문공원길 17,126.955198449007,37.5723811886189
서울 서대문구 독립문로 10,126.958195607419,37.5693625124039
서울 서대문구 통일로 251,126.955611774864,37.5746085138333
서울 서대문구 독립문로8길 107,126.958901965404,37.5658148194371
서울 서대문구 성산로 694,126.959067716854,37.5711148935031
서울 서대문구 독립문로12나길 2,126.960678334722,37.5677896865542
서울 서대문구 독립문로8길 27,126.960113613577,37.5682257592154
서울 서대문구 이화여대8길 62,126.950732370424,37.5597234797417
서울 서대문구 북아현로4길 8,126.957087060014,37.559162116526
서울 서대문구 신촌로37길 58,126.959628219878,37.5582013785878
서울 서대문구 북아현로4자길 15,126.959449165219,37.5611395583508
서울 서대문구 북아현로6길 78,126.95867626625,37.5615120326914
서울 서대문구 신촌로35길 10,126.955972779768,37.5586416507778
서울 서대문구 북아현로 40,126.95616991129,37.5611958701143
서울 서대문구 북아현로 24,126.95703640486,37.5594709598715
서울 서대문구 신촌로3나길 7-11,126.93009002258,37.5594115880141
서울 서대문구 성산로 570,126.947511935975,37.5666834601734
서울 서대문구 성산로 560,126.947355714248,37.5663888550725
서울 서대문구 성산로 520,126.944488566727,37.5626393076934
서울 서대문구 신촌로 189,126.946982491502,37.5571751871711
서울 서대문구 연대동문길 29,126.943832497098,37.5639171508019
서울 서대문구 이화여대길 50-12,126.946518539932,37.5594526986118
서울 서대문구 이화여대길 92-8,126.943504839413,37.559548782896
서울 서대문구 봉원사길 13,126.946355076014,37.5672331783049
서울 서대문구 연희로28길 35-7,126.937438666414,37.5752191749697
서울 서대문구 성산로7길 11,126.919165330602,37.5679496614347
서울 서대문구 증가로 61,126.928106624252,37.5730012881337
서울 서대문구 연희로25길 101,126.932080087784,37.5690996293208
서울 서대문구 홍연길 70,126.930548573423,37.5762912899583
서울 서대문구 연희로33길 36-1,126.933660759454,37.5782531926758
서울 서대문구 증가로 13-10,126.930775534654,37.56933601357
서울 서대문구 증가로2길 40-16,126.929645325739,37.5732681888137
서울 서대문구 연희로 189,126.935220696925,37.5738870295347
서울 서대문구 홍제천로 54-19,126.922689651035,37.5708292603137
서울 서대문구 홍제천로4길 32,126.926508023648,37.5740296001114
서울 서대문구 홍제천로2길 83,126.922915175105,37.5710135711771
서울 서대문구 홍제천로2길 140,126.924277802647,37.5731739576089
서울 서대문구 동교로 291,126.927366258949,37.5653469694737
서울 서대문구 증가로 61,126.928106624252,37.5730012881337
서울 서대문구 연희로 64-14,126.929452000384,37.5634048757431
서울 서대문구 연희로10길 48,126.9324631141,37.565112312392
서울 서대문구 연희로 158,126.934885877614,37.5712522462197
서울 서대문구 연희로24길 9-72,126.935807040574,37.5722177163508
서울 서대문구 연희로20길 13,126.934174543437,37.5698404427848
서울 서대문구 연희로26가길 33,126.936793503584,37.574436227446
서울 서대문구 연희로36길 26,126.936421829378,37.5775360791539
서울 서대문구 연희로36길 27,126.937418656317,37.5782982220984
서울 서대문구 모래내로20길 39,126.938510401582,37.5828797179104
서울 서대문구 연희로14길 57,126.934512199555,37.5673895624713
서울 서대문구 연희로32길 129,126.938344705606,37.5789743647702
서울 서대문구 연희로32길 51,126.937858169171,37.5767519879565
서울 서대문구 연희로 242,126.936274877593,37.5786098046138
서울 서대문구 연희로 182,126.935995916827,37.57320485877
서울 서대문구 연희로 248,126.936759175119,37.5791546257808
서울 서대문구 모래내로 412,126.940858017289,37.5833186200007
서울 서대문구 연희로 38-20,126.928576405497,37.5620932194086
서울 서대문구 성산로 371,126.931739356415,37.5637849090913
서울 서대문구 연희로28길 35-28,126.938075620737,37.5758147978315
서울 서대문구 연희로32길 48,126.937263003322,37.5758600491846
서울 서대문구 연희로32길 20,126.935961127849,37.5752304560257
서울 서대문구 통일로39길 38-17,126.941986854166,37.5874487912427
서울 서대문구 모래내로 430,126.942253394766,37.5836167287383
서울 서대문구 통일로 397,126.947398082336,37.5851683009936
서울 서대문구 통일로25길 30,126.947232533735,37.5832766820987
서울 서대문구 통일로27길 19,126.948411411726,37.5831627770462
서울 서대문구 통일로 319,126.951950212766,37.5781824961904
서울 서대문구 통일로 357,126.949846071143,37.5819884999221
서울 서대문구 통일로 357,126.949846071143,37.5819884999221
서울 서대문구 통일로27길 15-1,126.949243597131,37.5832514351499
서울 서대문구 통일로37길 60,126.943879163212,37.5854437357557
서울 서대문구 통일로37다길 18-5,126.943097453874,37.5859518819062
서울 서대문구 통일로37나길 12-6,126.942917113017,37.5872629195
서울 서대문구 통일로37길 30,126.943648840822,37.5868425075039
서울 서대문구 모래내로 453,126.945022438138,37.5857624143777
서울 서대문구 모래내로 455,126.9452798978,37.5856089147184
서울 서대문구 통일로35길 31,126.945168570973,37.5864250724909
서울 서대문구 통일로37나길 12-6,126.942917113017,37.5872629195
서울 서대문구 통일로39길 25,126.943391137382,37.5876068764761
서울 서대문구 통일로39길 114,126.941096289539,37.5856765479242
서울 서대문구 통일로39다길 23-4,126.941955733456,37.586554270393
서울 서대문구 통일로39가길 57,126.940985283729,37.5899000753645
서울 서대문구 홍제내길 174,126.938752080072,37.5890028107412
서울 서대문구 홍제내길 168,126.937853657192,37.5887177176409
서울 서대문구 홍제내2길 67,126.936428194717,37.5868258652506
서울 서대문구 홍제내2마길 6,126.936699647075,37.5847470602064
서울 서대문구 송죽길 49,126.938316721806,37.5851749869788
서울 서대문구 모래내로 441,126.943974937789,37.585001844196
서울 서대문구 통일로34길 27,126.949369144755,37.5861054747526
서울 서대문구 통일로34길 43,126.948794498635,37.5883357243751
서울 서대문구 통일로34길 46,126.949957261207,37.5858570515133
서울 서대문구 통일로32길 14,126.949396189459,37.5851238545432
서울 서대문구 통일로32길 3,126.949283208998,37.5854408654874
서울 서대문구 통일로26길 17,126.950914098801,37.5837564275506
서울 서대문구 통일로 332,126.952519435831,37.580477287706
서울 서대문구 통일로 332,126.952519435831,37.580477287706
서울 서대문구 통일로 344,126.951439676557,37.5812727862731
