road_address,x,y
서울 구로구 가마산로20다길 3,126.886315546458,37.4925401668134
서울 구로구 구로동로28길 58,126.887423153328,37.4906534376757
서울 구로구 가마산로20다길 28-14,126.887749750649,37.4921410406708
서울 구로구 가마산로20다길 22-10,126.887391217994,37.4919659041362
서울 구로구 가마산로20나길 22-2,126.887140012186,37.4928329736025
서울 구로구 구로동로 221-1,126.882253647485,37.4983826381282
서울 구로구 구로동로 205,126.882252305163,37.4970048184443
서울 구로구 구로동로43길 24,126.880857715695,37.4961662053023
서울 구로구 가마산로 134,126.880647294771,37.4879052018652
서울 구로구 가마산로 174-9,126.882172001592,37.4915427468564
서울 구로구 구로동로35길 22,126.882413167328,37.4933632911393
서울 구로구 구로동로35길 16,126.882526944732,37.4937119136892
서울 구로구 구로동로35길 13,126.882839179109,37.4936265380219
서울 구로구 벚꽃로74길 20,126.881099653434,37.4945644598022
서울 구로구 구로동로41길 58,126.880976152298,37.4937196418344
서울 구로구 구로동로41길 65,126.881164509057,37.4933132972685
서울 구로구 가마산로11길 10,126.881440219783,37.4921541588181
서울 구로구 가마산로9길 8-21,126.880940263813,37.4918939858627
서울 구로구 가마산로 175,126.881742974242,37.4916950388603
서울 구로구 가마산로7길 13,126.881065827022,37.4910083324273
서울 구로구 가마산로5길 13,126.880602993051,37.4905197900792
서울 구로구 가마산로 153-7,126.880824659818,37.489854530035
서울 구로구 구로동로17길 57-8,126.881345344699,37.4879383412523
서울 구로구 구로동로17길 56-5,126.881664194168,37.4885192702278
서울 구로구 구로동로17길 46,126.881890839255,37.488488592468
서울 구로구 구로동로17길 40,126.882247711468,37.4884061461128
서울 구로구 구로동로17길 37-54,126.88156785865,37.4873720109933
서울 구로구 벚꽃로 398,126.880474752937,37.4896762276371
서울 구로구 가마산로 159-14,126.880434048058,37.4902426496428
서울 구로구 벚꽃로 414-1,126.880365828328,37.4911866557494
서울 구로구 벚꽃로68길 5,126.880520944637,37.4923377589018
서울 구로구 벚꽃로 446,126.880251173881,37.4938042345262
서울 구로구 벚꽃로74길 1,126.880186920825,37.4948099629149
서울 구로구 구로동로43길 41,126.880594180009,37.4952745737284
서울 구로구 구로동로43길 31,126.88108192356,37.4954765307146
서울 구로구 구로동로43길 17,126.881775434467,37.4959231347805
서울 구로구 구로동로43길 13,126.882021157363,37.4959996956586
서울 구로구 구로동로42길 15,126.883043466885,37.4965577142113
서울 구로구 구로동로 210-10,126.883112158227,37.4972517371015
서울 구로구 구로중앙로27다길 1,126.884461987569,37.4974447990496
서울 구로구 구로중앙로27길 66,126.882752436935,37.4968155639883
서울 구로구 벚꽃로 466,126.880154719426,37.4957130990025
서울 구로구 벚꽃로 468,126.880124587011,37.4958873230398
서울 구로구 벚꽃로76길 4,126.879957114336,37.4967327472773
서울 구로구 벚꽃로78길 2,126.879915106981,37.4969776881401
서울 구로구 벚꽃로 484,126.880135396243,37.4973316468315
서울 구로구 구로동로45길 26,126.881178987238,37.4967368657716
서울 구로구 구로동로45길 14,126.881721128648,37.4970150097915
서울 구로구 구로동로47길 10-5,126.88166762737,37.4981693250896
서울 구로구 구로동로 224,126.882701024343,37.4985245411097
서울 구로구 구로동로 230-1,126.88263675201,37.4991996009244
서울 구로구 구로동로50길 9,126.883042321095,37.4993951609967
서울 구로구 구로중앙로27길 18,126.884971104824,37.498178534547
서울 구로구 구로중앙로27길 21,126.884945306091,37.4978197288517
서울 구로구 구로중앙로 103,126.88608382089,37.4981424012242
서울 구로구 구로중앙로27가길 23,126.886052120349,37.497719708748
서울 구로구 구로중앙로27가길 13,126.885388658262,37.4977104172814
서울 구로구 구로중앙로27나길 16,126.885066705562,37.4969702884188
서울 구로구 구로동로40나길 9,126.884724435815,37.4957681027567
서울 구로구 구로중앙로27나길 32,126.885230689115,37.4961507124214
서울 구로구 구로중앙로21길 10-15,126.887111410554,37.4962089275531
서울 구로구 구로중앙로21길 10,126.887580296768,37.4960309754381
서울 구로구 구로중앙로21길 40,126.885953059651,37.4960819444099
서울 구로구 구로중앙로21길 58,126.885213221683,37.4956678461861
서울 구로구 구로중앙로21길 72,126.884561025076,37.4952574330027
서울 구로구 가마산로19길 25,126.884605164948,37.4942774514127
서울 구로구 구로동로38길 46,126.88546859614,37.4949057525473
서울 구로구 가마산로22길 48,126.888057191959,37.492303964121
서울 구로구 가마산로20라길 20-7,126.887777322633,37.4914735108332
서울 구로구 가마산로20다길 14-14,126.887031640825,37.491809686656
서울 구로구 가마산로20길 43,126.886472907185,37.4917476122946
서울 구로구 구로동로28길 33-41,126.885742040782,37.4922251621679
서울 구로구 가마산로15길 6-2,126.884037450159,37.4935774441189
서울 구로구 가마산로20나길 22-2,126.887140012186,37.4928329736025
서울 구로구 가마산로20다길 28-13,126.888015276894,37.491976318297
서울 구로구 가마산로20다길 22-10,126.887391217994,37.4919659041362
서울 구로구 가마산로20다길 3,126.886315546458,37.4925401668134
서울 구로구 가마산로20길 19,126.886261885101,37.4928049210571
서울 구로구 디지털로26길 29,126.894147915958,37.4814814476348
서울 구로구 디지털로26길 61,126.895303784633,37.4811291019439
서울 구로구 디지털로 242,126.892678392752,37.4808125646967
서울 구로구 도림로12길 15-3,126.889004103428,37.4868805234638
서울 구로구 디지털로27나길 10-6,126.89182935566,37.4839161247932
서울 구로구 디지털로27길 58,126.890906742183,37.4840719618227
서울 구로구 디지털로27길 120-3,126.887568020677,37.4850586792813
서울 구로구 디지털로27길 124-12,126.887655162069,37.4853074403648
서울 구로구 도림로10길 5-4,126.888083161933,37.486190383758
서울 구로구 도림로12길 9,126.888679531426,37.4869221149486
서울 구로구 도림로 40-1,126.888917092014,37.4876088162571
서울 구로구 도림로 46,126.889377072923,37.4879097338634
서울 구로구 디지털로27라길 67,126.889849188089,37.4874188555422
서울 구로구 도림로 44-9,126.889648173149,37.4876327473647
서울 구로구 도림로 98,126.893907751121,37.4908518939287
서울 구로구 도림천로 376,126.895112208239,37.4913557313496
서울 구로구 도림로20가길 30,126.893193703951,37.4880538030016
서울 구로구 도림로20길 18,126.892409245918,37.488977254588
서울 구로구 도림로20길 68,126.894717350548,37.4877263028202
서울 구로구 디지털로35길 34,126.895793911618,37.4877180669857
서울 구로구 디지털로35길 10,126.896536797675,37.4870554881378
