연번,장소,설치수량,행정동,종류,주소,위도,경도
59,ESA3차,1,방학1동,수거함,서울특별시 도봉구 도봉로150길 31,37.6664804,127.0448997
60,렉시온,1,방학1동,수거함,서울특별시 도봉구 도봉로152길 16,37.6690533,127.0447352
61,이수아파트,1,방학1동,수거함,서울특별시 도봉구 도봉로146길36,37.6634767,127.0450526
62,방학지음재힐스,1,방학1동,수거함,서울특별시 도봉구 도봉로150다길 28,37.6674362,127.0448193
63,금광(아),1,방학1동,수거함,서울특별시 도봉구 도봉로150바길 26,37.6645833,127.0450668
64,동사무소,1,방학2동,수거함,서울특별시 도봉구 시루봉로 226,37.6681770,127.0350425
65,방아골종합복지관,1,방학2동,수거함,서울특별시 도봉구 시루봉로17길 42,37.6692804,127.0325810
66,신우빌라,1,방학2동,수거함,서울특별시 도봉구 도당로13다길 45,37.6647649,127.0327450
67,바른채아파트,1,방학2동,수거함,서울특별시 도봉구 도당로 9길 44-17,37.6633182,127.0313572
68,청구빌라,1,방학2동,수거함,서울특별시 도봉구 도봉로155길 50,37.6730060,127.0411761
69,동사무소,1,방학3동,수거함,서울특별시 도봉구 시루봉로 94,37.6591413,127.0279921
70,학마을 다사랑센터,1,방학3동,수거함,서울특별시 도봉구 시루봉로 128,37.6621078,127.0278197
71,신동아1차 경로당,1,방학3동,수거함,서울특별시 도봉구 방학로 193,37.6609311047,127.0278935913
72,신동아1차아파트,2,방학3동,수거함,서울특별시 도봉구 방학로 193,37.6609311047,127.0278935913
73,삼익쎄라믹아파트,1,방학3동,수거함,서울특별시 도봉구 도당로 37,37.6615025958,127.0337599815
74,벽산1차아파트,1,방학3동,수거함,서울특별시 도봉구 방학로11길 30,37.6609443063,127.0326263955
75,신동아타워아파트,1,방학3동,수거함,서울특별시 도봉구 방학로 210,37.6621699,127.0287936
76,대원그린아파트,1,방학3동,수거함,서울특별시 도봉구 방학로 212-11,37.6625563516,127.0284110106
77,극동아파트,1,방학3동,수거함,서울특별시 도봉구 시루봉로11길 25-8,37.6642794675,127.0265211830
78,한화성원아파트,1,방학3동,수거함,서울특별시 도봉구 방학로11길 10,37.6612185127,127.0314931782
79,신동아4차아파트,1,방학3동,수거함,서울특별시 도봉구 방학로 200,37.6628263698,127.0295354084
80,신동아5차아파트,1,방학3동,수거함,서울특별시 도봉구 방학로12길 53,37.6633419743,127.0285473143
81,벽산2차아파트,1,방학3동,수거함,서울특별시 도봉구 시루봉로5길 38,37.6585350139,127.025598903
82,우성1차아파트,1,방학3동,수거함,서울특별시 도봉구 해등로 286-5,37.6577280372,127.0241616212
83,우성2차아파트,1,방학3동,수거함,서울특별시 도봉구 해등로 305,37.6572634231,127.0226882102
84,신동아3차아파트,1,방학3동,수거함,서울특별시 도봉구 방학로15길 26,37.6602183821,127.0240082964
85,신동아2차아파트,1,방학3동,수거함,서울특별시 도봉구 방학로15길 40,37.6591068,127.0234943
86,청구아파트,1,방학3동,수거함,서울특별시 도봉구 시루봉로 67,37.6568371174,127.0275792770
87,동양크레오아파트,1,방학3동,수거함,서울특별시 도봉구 시루봉로 166,37.6644054,127.0302278
88,효성아파트,1,방학3동,수거함,서울특별시 도봉구 방학로11길 33,37.6613225,127.0329087
89,동사무소,1,창1동,수거함,서울특별시 도봉구 해등로 46,37.6483328,127.0437847
90,서울가든아파트,1,창1동,수거함,서울특별시 도봉구 해등로 32,37.6478368,127.0445084
91,주공3단지아파트,1,창1동,수거함,서울특별시 도봉구 해등로 50,37.6500415,127.0436076
92,문화정보쎈터,1,창1동,수거함,서울특별시 도봉구 덕릉로315 ,37.6445808,127.0438827
93,주공4단지아파트,1,창1동,수거함,서울특별시 도봉구 덕릉로 349,37.6450464645,127.0461304242
94,창동종합복지관,1,창1동,수거함,서울특별시 도봉구 덕릉로 329,37.6448368,127.0454579
95,삼성아파트,1,창1동,수거함,서울특별시 도봉구 노해로66길 21,37.6503906230,127.0473303600
96,창일경로당,1,창1동,수거함,서울특별시 도봉구 도봉로116길 41,37.6483627,127.0377183
97,창동현대타운아파트,1,창1동,수거함,서울특별시 도봉구 도봉로114길 22-8,37.6470982,127.0352394
