관리번호,주소,상세주소
2002-09-04,잔다리로7안길 41,주소없음!
2002-09-05,동교로 12길 21,주소없음!
2002-09-06,동교로 12길 42,주소없음!
2002-09-07,월드컵북로5길 49,주소없음!
2002-09-08,동교로 157-1,주소없음!
2002-09-09,동교로17안길 5,주소없음!
2002-09-10,월드컵북로 4길 47,주소없음!
2002-09-11,월드컵북로 4길 60,주소없음!
2002-09-12,동교로 27길 26,주소없음!
2002-09-13,월드컵북로 4길 87,주소없음!
2002-09-14,동교로 25길 5,주소없음!
2002-09-15,동교로 212,주소없음!
2002-09-16,신촌로12나길 32,주소없음!
2002-09-17,신촌로12나길 12,주소없음!
2002-09-18,신촌로10길 16,주소없음!
2002-09-19,신촌로 6길 14,주소없음!
2002-09-20,와우산로 37길 24,주소없음!
2002-09-21,와우산로 35길 39,주소없음!
2002-09-22,와우산로 25길 17,주소없음!
2002-09-23,와우산로 33길 27,주소없음!
2002-09-24,와우산로 29나길 15,주소없음!
2002-09-25,와우산로 29가길 48,주소없음!
2002-09-26,와우산로 27길 75,주소없음!
2002-09-27,홍익로 2길 37,주소없음!
2002-09-28,와우산로 23길 14,주소없음!
2002-09-29,와우산로 23길 20-27,주소없음!
2002-09-30,서강로 119,주소없음!
02-09-31,월드컵로 14길 5,주소없음!
02-09-32,월드컵로 14길 42,주소없음!
02-09-33,잔다리로 117,주소없음!
02-09-34,월드컵북로5길 22,주소없음!
02-09-35,월드컵북로 7길 64,주소없음!
02-09-36,동교로 13길 52-5,주소없음!
02-09-37,성미산로10길 64,주소없음!
02-09-38,양화로 8길 17-20,주소없음!
02-09-39,잔다리로3길 31,주소없음!
02-09-40,월드컵로 12길 22,동교로17길 46에 있던 의류수거함 이동
02-09-41,양화로23길 34,주소없음!
02-09-42,연희로1길 22,주소없음!
02-09-43,월드컵북로2길 93,주소없음!
02-09-44,월드컵로14길 51,주소없음!
02-09-45,월드컵북로9길 17-8,주소없음!
2002-10-01,독막로4길 11,주소없음!
2002-10-02,독막로4길 41,주소없음!
2002-10-03,독막로6길 22,주소없음!
2002-10-04,독막로8길 32,주소없음!
2002-10-05,동교로 16-18,주소없음!
2002-10-06,동교로8길 38,주소없음!
2002-10-07,성지1길 33,주소없음!
2002-10-08,성지3길 34,주소없음!
2002-10-09,성지3길 74,주소없음!
2002-10-10,성지길 49,주소없음!
2002-10-11,양화로1길 29,주소없음!
2002-10-12,양화로1길 54,주소없음!
2002-10-13,양화로3길 78,주소없음!
2002-10-14,양화진길 15,주소없음!
2002-10-15,양화진길 27,주소없음!
2002-10-16,어울마당로3길 14,주소없음!
